Id_Encuesta,Id_Encuestado,LOCALIDAD,P1.1 Rango de edad,ESTRATO,P1. ¿Cuántos años tiene? (ENC: ANOTE LA EDAD EXACTA Y TAMBIEN SELECCIONE EL RANGO),P2,P6,P7,P106,P102,P103,P109,P111,P112,P117_1,P117_2,P117_3,P121,P122,P123,P447_1,P447_2,P447_3,P447_4,P447_5,P447_6,P128,P203,P204_A,P204_B,P204_C,P204_D,P204_E,P204_F,P204_G,P204_H,P204_I,P204_J,P204_K,P204_L,P204_M,P204_N,P204_O,P204_P,P204_Q,P204_R,P238_1,P238_2,P238_3,P214_1,P214_2,P214_3,P214_4,P214_5,P214_6,P214_7,P214_8,P214_9,P214_10,P214_11,P214_12,P214_13,P214_14,P214_15,P214_16,P214_17,P214_18,P206_1,P206_2,P206_3,P206_4,P206_5,P206_6,P206_7,P206_8,P206_9,P206_10,P206_11,P206_12,P206_13,P206_14,P206_15,P206_16,P206_17,P206_18,P209_1,P209_2,P209_3,P209_4,P209_5,P209_6,P209_7,P209_8,P209_9,P209_10,P209_11,P209_12,P209_13,P209_14,P209_15,P209_16,P209_17,P209_18,P204_1_1_A,P204_1_1_B,P204_1_1_C,P204_1_1_D,P204_1_1_E,P204_1_1_F,P204_1_1_G,P207,P208,P208_A,P208_B,P208_C,P208_C,P208_E,P208_F,P208_O,P208_OTRO,P230,P233,P234,P234_A,P234_B,P234_C,P234_D,P234_E,P234_F,P234_G,P234_H,P234_I,P234_K,P234_L,P234_M,P234_N,P234_O,P234_P,P234_Q,P234_R,P234_S,P234_T,P234_U,P234_V,P304,P305,P308,P310_1,P310_2,"P311.1. Decisiones de libertad (medidas de aseguramiento, detención domiciliaria, medida intramural y prisión domiciliaria)",P450_A,P450_B,P450_C,P450_D,P450_E,P405,P407,P407_A,P407_B,P407_C,P407_1,P412_A,P412_B,P412_C,P412_D,P412_E,P412_F,P417,P418,P421,P444.,CLAVE,FEX
o   020SEG_Percepción_y_Victimización_en_Bogotá,1,Rafael Uribe,De 36 a 45 años,Estrato 3,43,Jefe(a),Independiente,Femenino,Ha Aumentado,Inseguro,Inseguro,Parques,Ni seguro ni inseguro,,"Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Violencia Sexual,"Violencia contra la mujer (física, psicológica o económica)",No,Si,,,,,,,,Noticieros de televisión,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,Mejorar la justicia,"Acabar con la corrupción en
la policía",2. Malo,4. Bueno,3. Ni bueno ni malo,3. Ni bueno ni malo,2. Malo,3. Regular,No Sabe,,,,,Todos los días,,,,,,,No,,,Si,Rafael UribeEstrato 3,1534.6364
o   020SEG_Percepción_y_Victimización_en_Bogotá,2,Usaquén,De 36 a 45 años,Estrato 4,37,Jefe(a),Empleado,Femenino,Ha disminuido,Seguro,Inseguro,Potreros,Inseguro,"8. Hurtos (atraco, cosquilleo, raponazo)","Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Violencia Sexual,Homicidio,Si,Si,,,,,,,,Periódicos (Impresos o digitales),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,Aumentar la inversión social,Mejorar la justicia,1. Muy Malo,1. Muy Malo,1. Muy Malo,1. Muy Malo,1. Muy Malo,3. Regular,No Sabe,,,,,De vez en cuando en el mes,,,,,,,No,,,Si,UsaquénEstrato 4,1543.954394
o   020SEG_Percepción_y_Victimización_en_Bogotá,3,Chapinero,Más de 55 años,Estrato 6,68,Jefe(a),Independiente,Masculino,Ha Aumentado,Seguro,Inseguro,Paraderos,Muy Inseguro,"2. Presencia de personas vulnerables en el sistema (habitantes de calle, vendedores informales)","Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Hurto a residencias,Homicidio,No,Si,,,,,,,,Periódicos (Impresos o digitales),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,Construir más cárceles,Mejorar la justicia,2. Malo,3. Ni bueno ni malo,1. Muy Malo,2. Malo,2. Malo,4. Bueno,Si sabe,,Si,No,Si,Algunos días de la semana ,,,,,,,No,,,No,ChapineroEstrato 6,1560.374824
o   020SEG_Percepción_y_Victimización_en_Bogotá,4,Suba,De 46 a 55 años,Estrato 3,55,Jefe(a),Hogar,Femenino,Ha Aumentado,Inseguro,Inseguro,Parques,Muy Inseguro,"1. Operacionalidad del sistema (aglomeraciones, frecuencias horarios)","Violencia contra la mujer (física, psicológica o económica)","Hurto a personas (Atraco,
cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Extorsión,Si,No,5. Por el abuso de autoridad,Si,No,No,No Aplica,No,Si,Noticieros de televisión,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Si,,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,Si,Si,No,Si,Si,Regular,No,,"Aumentar el pie de fuerza de
la policía",Aumentar la inversión social,3. Ni bueno ni malo,2. Malo,2. Malo,3. Ni bueno ni malo,3. Ni bueno ni malo,1. Pésimo,Si sabe,,Si,No,Si,De vez en cuando en el mes,,,,,,,No,,,No,SubaEstrato 3,1538.099427
o   020SEG_Percepción_y_Victimización_en_Bogotá,5,Engativá,De 36 a 45 años,Estrato 3,36,Jefe(a),Independiente,Femenino,Ha Aumentado,Inseguro,Inseguro,Ciclo Rutas,Inseguro,6. Capacidad de respuesta de las autoridades (dificultades para denunciar y escasa presencia institucional),"Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Feminicidio (Asesinato de mujeres),Hurto a residencias,Si,No,5. Por el abuso de autoridad,Si,No Aplica,Si,No Aplica,Si,Si,Noticieros de televisión,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,,,,,,,,,,,,,,,,,,,,,,,Malo,No,,Aumentar las penas,"Acabar con la corrupción en
la policía",2. Malo,4. Bueno,1. Muy Malo,2. Malo,2. Malo,3. Regular,No Sabe,,,,,De vez en cuando en el mes,,,,,,,No,,,No,EngativáEstrato 3,1537.527569
o   020SEG_Percepción_y_Victimización_en_Bogotá,6,Chapinero,De 26 a 35 años,Estrato 3,27,Jefe(a),Empleado,Masculino,Ha Aumentado,Seguro,Inseguro,Semáforos,Muy Inseguro,"1. Operacionalidad del sistema (aglomeraciones, frecuencias horarios)","Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)","Hurto a personas (Atraco,
cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Feminicidio (Asesinato de mujeres),No,No,4. Por la corrupción,Si,Si,Si,Si,Si,Si,Experiencia personal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,,,,,,,,,,,,,,,,,,,,,,,Bueno,No,,"Acabar con la corrupción en
la policía",Aumentar la inversión social,1. Muy Malo,1. Muy Malo,1. Muy Malo,1. Muy Malo,1. Muy Malo,3. Regular,Si sabe,,No,No,No,De vez en cuando en el mes,,,,,,,No,,,No,ChapineroEstrato 3,1583.664
o   020SEG_Percepción_y_Victimización_en_Bogotá,7,Chapinero,De 18 a 25 años,Estrato 6,34,Hijo(a) o Hijastro(a),Empleado,Femenino,Ha Aumentado,Seguro,Inseguro,Puentes peatonales,Inseguro,"1. Operacionalidad del sistema (aglomeraciones, frecuencias horarios)","Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Hurto a residencias,Lesiones personales,Si,Si,,,,,,,,Comentarios de la gente (voz a voz),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,Construir más cárceles,Aumentar la inversión social,3. Ni bueno ni malo,2. Malo,1. Muy Malo,1. Muy Malo,1. Muy Malo,4. Bueno,No Sabe,,,,,Todos los días,,,,,,,No,,,Si,ChapineroEstrato 6,1560.374824
o   020SEG_Percepción_y_Victimización_en_Bogotá,8,Chapinero,De 26 a 35 años,Estrato 6,35,Jefe(a),Otro,Femenino,Ha Aumentado,Inseguro,Inseguro,Paraderos,Inseguro,6. Capacidad de respuesta de las autoridades (dificultades para denunciar y escasa presencia institucional),"Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)","Hurto a personas (Atraco,
cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Hurto a residencias,Si,Si,,,,,,,,Periódicos (Impresos o digitales),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Si,,Si,Si,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,Regular,No,,Generar políticas de reactivación económica,Aumentar la inversión social,2. Malo,2. Malo,2. Malo,2. Malo,4. Bueno,3. Regular,Si sabe,,Si,No,Si,Algunos días de la semana ,,,,,,,No,,,Si,ChapineroEstrato 6,1560.374824
o   020SEG_Percepción_y_Victimización_en_Bogotá,9,Teusaquillo,De 46 a 55 años,Estrato 4,48,Jefe(a),Empleado,Masculino,Ha Aumentado,Seguro,Inseguro,Calles,Muy Inseguro,"8. Hurtos (atraco, cosquilleo, raponazo)",Hurto de vehículos (o alguna de sus partes),Feminicidio (Asesinato de mujeres),"Hurto a personas (Atraco,
cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",No,Si,,,,,,,,"Redes sociales (Twiter, Facebook, Grupos de Whatsapp)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Si,,No,Si,Si,No,No,Si,No,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,Si,Regular,No,,Mejorar la justicia,Generar políticas de reactivación económica,1. Muy Malo,2. Malo,2. Malo,2. Malo,2. Malo,3. Regular,Si sabe,,Si,No,No,De vez en cuando en el mes,,,,,,,No,,,Si,TeusaquilloEstrato 4,1550.0365
o   020SEG_Percepción_y_Victimización_en_Bogotá,10,Usaquén,De 18 a 25 años,Estrato 4,22,Hijo(a) o Hijastro(a),Estudiante,Femenino,Ha Aumentado,Inseguro,Inseguro,Calles,Inseguro,"2. Presencia de personas vulnerables en el sistema (habitantes de calle, vendedores informales)",Homicidio,Trata de personas ,Terrorismo,Si,Si,,,,,,,,"Redes sociales (Twiter, Facebook, Grupos de Whatsapp)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,Mejorar la justicia,Aumentar las penas,2. Malo,3. Ni bueno ni malo,4. Bueno,2. Malo,2. Malo,3. Regular,No Sabe,,,,,De vez en cuando en el mes,,,,,,,No,,,No,UsaquénEstrato 4,1543.954394
